Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина,Размер,Открывание,Тип товаров,Остекление
Дверь Грация,ДВ-ГРА-7,ДВ-ГРА-7,RUB,7,10400,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/438/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F.png,,,,,,,,Дверь Оникс,
Дверь Лондон,ДВ-ЛОН-8,ДВ-ЛОН-8,RUB,8,17100,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/1a7/%D0%90%D0%BA%D0%B0%D1%86%D0%B8%D1%8F%20-%20%D0%9D%D0%B0%D0%BB%D0%B8%D1%87%D0%BD%D0%B8%D0%BA%20%D0%BF%D1%80%D1%8F%D0%BC%D0%BE%D0%B9%20%D0%BA%D0%BE%D0%BF%D0%B8%D1%8F.jpg,,,,,,,,Дверь Оникс,
Дверь Парма,ДВ-ПАР-9,ДВ-ПАР-9,RUB,9,10900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/898/0_%D0%BF%D0%B0%D1%80%D0%BC%D0%B0_%D1%81%D0%B5%D1%80%D1%8B%D0%B9%20%D0%B4%D1%83%D0%B1_%D1%81%D1%82%D0%B5%D0%BA%D0%BB%D0%BE.jpg,,,,,,,,Дверь Оникс,
Дверь Парма 1,ДВ-ПАР-10,ДВ-ПАР-10,RUB,10,12600,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/771/%D0%BF%D0%B0%D1%80%D0%BC%D0%B01.jpg,,,,,,,,Дверь Оникс,
Дверь Парма с 3D элементами,ДВ-ПАР-11,ДВ-ПАР-11,RUB,11,20700,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/f79/%D0%BF%D0%B0%D1%80%D0%BC%D0%B0%203d%20%20%203%20%D1%81%D0%B0%D0%B9%D1%82%20%D0%BF%D1%80%D0%B8%D0%B2%D1%8C%D1%8E.jpg,,,,,,,,Дверь Оникс,
Дверь Парма 3,ДВ-ПАР-12,ДВ-ПАР-12,RUB,12,10900,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/2c6/parma3_zebrano-venge.jpg,,,,,,,,Дверь Оникс,
Дверь Порто,ДВ-ПОР-13,ДВ-ПОР-13,RUB,13,11300,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/2a9/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F.png,,,,,,,,Дверь Оникс,
Дверь Престиж,ДВ-ПРЕ-14,ДВ-ПРЕ-14,RUB,14,9800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/91a/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F.png,,,,,,,,Дверь Оникс,
Дверь Престиж 1,ДВ-ПРЕ-15,ДВ-ПРЕ-15,RUB,15,9800,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/89e/%D0%9F%D1%80%D0%B5%D1%81%D1%82%D0%B8%D0%B61.jpg,,,,,,,,Дверь Оникс,
Дверь Престиж 2,ДВ-ПРЕ-16,ДВ-ПРЕ-16,RUB,16,10500,1,0,0,1000,,,,,,,,,,,,,,,https://www.oniks-dveri.ru/upload/iblock/67a/%D0%9F%D1%80%D0%B5%D1%81%D1%82%D0%B8%D0%B62.jpg,,,,,,,,Дверь Оникс,
